cid,data_time,value
91E0B6DC00B91783E0530BC8100A0E30,2018-05-24,332194.54928446724
91E0B6DC00B91783E0530BC8100A0E30,2018-05-25,337773.12978596694
91E0B6DC00B91783E0530BC8100A0E30,2018-05-26,312784.1464368289
91E0B6DC00B91783E0530BC8100A0E30,2018-05-27,254733.41404528025
91E0B6DC00B91783E0530BC8100A0E30,2018-05-28,303171.55060913914
91E0B6DC00B91783E0530BC8100A0E30,2018-05-29,363223.4509127939
91E0B6DC00B91783E0530BC8100A0E30,2018-05-30,350264.9413022993
91E0B6DC00B91783E0530BC8100A0E30,2018-05-31,341617.0088643544
91E0B6DC00B91783E0530BC8100A0E30,2018-06-01,330931.5017910156
91E0B6DC00B91783E0530BC8100A0E30,2018-06-02,333075.02393057774
91E0B6DC00B91783E0530BC8100A0E30,2018-06-03,233947.43030684974
91E0B6DC00B91783E0530BC8100A0E30,2018-06-04,305335.10173235275
91E0B6DC00B91783E0530BC8100A0E30,2018-06-05,354131.74954358494
91E0B6DC00B91783E0530BC8100A0E30,2018-06-06,354063.8831286746
91E0B6DC00B91783E0530BC8100A0E30,2018-06-07,320773.665115721
91E0B6DC00B91783E0530BC8100A0E30,2018-06-08,306011.48107025126
91E0B6DC00B91783E0530BC8100A0E30,2018-06-09,301401.7293683866
91E0B6DC00B91783E0530BC8100A0E30,2018-06-10,239059.55031538772
91E0B6DC00B91783E0530BC8100A0E30,2018-06-11,314965.7997633282
91E0B6DC00B91783E0530BC8100A0E30,2018-06-12,353909.07984666666
91E0B6DC00B91783E0530BC8100A0E30,2018-06-13,320304.9801271429
91E0B6DC00B91783E0530BC8100A0E30,2018-06-14,319717.53985476185
91E0B6DC00B91783E0530BC8100A0E30,2018-06-15,280030.3899004762
91E0B6DC00B91783E0530BC8100A0E30,2018-06-16,261394.07021666676
91E0B6DC00B91783E0530BC8100A0E30,2018-06-17,179854.66902272723
91E0B6DC00B91783E0530BC8100A0E30,2018-06-18,95037.35501666665
91E0B6DC00B91783E0530BC8100A0E30,2018-06-19,274466.9196
91E0B6DC00B91783E0530BC8100A0E30,2018-06-20,358094.24637963384
91E0B6DC00B91783E0530BC8100A0E30,2018-06-21,343716.01023047615
91E0B6DC00B91783E0530BC8100A0E30,2018-06-22,379666.95002190466
91E0B6DC00B91783E0530BC8100A0E30,2018-06-23,374954.7899349999
91E0B6DC00B91783E0530BC8100A0E30,2018-06-24,264049.6109577106
91E0B6DC00B91783E0530BC8100A0E30,2018-06-25,266630.57062358974
91E0B6DC00B91783E0530BC8100A0E30,2018-06-26,359797.97991714295
91E0B6DC00B91783E0530BC8100A0E30,2018-06-27,380092.2298067667
91E0B6DC00B91783E0530BC8100A0E30,2018-06-28,388828.79031238105
91E0B6DC00B91783E0530BC8100A0E30,2018-06-29,360268.78248854965
91E0B6DC00B91783E0530BC8100A0E30,2018-06-30,345999.9220154728
91E0B6DC00B91783E0530BC8100A0E30,2018-07-01,324365.1377961262
91E0B6DC00B91783E0530BC8100A0E30,2018-07-02,333298.56023999996
91E0B6DC00B91783E0530BC8100A0E30,2018-07-03,347564.13655919913
91E0B6DC00B91783E0530BC8100A0E30,2018-07-04,380119.5653533333
91E0B6DC00B91783E0530BC8100A0E30,2018-07-05,368860.5403080951
91E0B6DC00B91783E0530BC8100A0E30,2018-07-06,354702.6002466666
91E0B6DC00B91783E0530BC8100A0E30,2018-07-07,342582.91123163013
91E0B6DC00B91783E0530BC8100A0E30,2018-07-08,286039.49362789706
